,Branch,Date,Segment,Rating,Tonnage,Qty,year_month,Month,weekofyear,quarter,dayofyear,month_sin,month_cos,week_sin,week_cos,qty_lag_1,qty_lag_2,qty_lag_3,qty_lag_6,qty_lag_12,qty_ma_3,qty_std_3,qty_ma_6,qty_std_6,qty_ma_12,qty_std_12,mom_growth,yoy_growth,rolling_trend_3,is_outlier,segment_code,rating_code,branch_code,tonnage_code,log_qty
1265,COK,2022-08-31,Non Inv,3 Star,1.0,46.0,2022-08-01,8,35,3,243,-0.8660254037844384,-0.5000000000000004,-0.8854560256532096,-0.4647231720437691,78.0,13.0,15.0,564.0,102.0,45.666666666666664,32.5012820259888,65.83333333333333,50.59413668268801,185.0,170.72638928999848,-0.4102564049967128,-0.5490196024605921,2.044444308148157,0,1,2,1,1,3.8501476017100584
1266,COK,2022-08-31,Non Inv,3 Star,0.8,43.0,2022-08-01,8,35,3,243,-0.8660254037844384,-0.5000000000000004,-0.8854560256532096,-0.4647231720437691,46.0,78.0,13.0,103.0,358.5,55.666666666666664,19.39931270259004,55.833333333333336,47.62107376641683,158.70833333333334,165.8008743168821,-0.06521738988657848,-0.8800557855507509,3.2820510295858183,0,1,2,1,0,3.784189633918261
1267,COK,2022-09-30,Non Inv,3 Star,0.8,21.0,2022-09-01,9,39,3,273,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,43.0,46.0,78.0,140.0,315.5,36.666666666666664,13.650396819611329,36.0,24.931907267592635,134.16666666666666,162.24046873998424,-0.5116278950784211,-0.9334389827783234,-0.529914523120754,0,1,2,1,0,3.091042453358316
1268,COK,2022-09-30,Non Inv,3 Star,1.0,63.0,2022-09-01,9,39,3,273,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,21.0,43.0,46.0,15.0,214.0,42.333333333333336,21.007935008773707,44.0,24.543838330624684,121.58333333333333,161.33897592186227,1.9999999047619093,-0.7056074733382829,-0.07971014319470698,0,1,2,1,1,4.1588830833596715
1269,COK,2022-09-30,Non Inv,2 Star,1.8,2.0,2022-09-01,9,39,3,273,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,63.0,21.0,43.0,13.0,62.0,28.666666666666668,31.214312956284143,42.166666666666664,27.549349659592828,116.58333333333333,164.25670504279347,-0.9682539528848579,-0.9677419198751304,-0.3333333255813955,0,1,1,1,3,1.0986122886681098
1270,COK,2022-09-30,Non Inv,1 Star,1.8,20.0,2022-09-01,9,39,3,273,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,2.0,63.0,21.0,78.0,311.0,28.333333333333332,31.3421973277696,32.5,22.09751117207178,92.33333333333333,154.11231638193675,8.99999550000225,-0.9356913153193205,0.34920633257747613,0,1,0,1,3,3.044522437723423
1271,COK,2022-09-30,Inverter,5 Star,1.8,3.0,2022-09-01,9,39,3,273,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,20.0,2.0,63.0,46.0,564.0,8.333333333333334,10.115993936970831,25.333333333333332,23.754297856735338,45.583333333333336,43.2129154374728,-0.8499999575000021,-0.9946808493002113,-0.8677248539514574,0,0,4,1,3,1.3862943611198906
1272,COK,2022-09-30,Inverter,5 Star,1.5,119.0,2022-09-01,9,39,3,273,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,3.0,20.0,2.0,43.0,103.0,47.333333333333336,62.64449962552869,38.0,45.43126676640042,46.916666666666664,45.34004518050033,38.666653777782074,0.15533980431708927,22.666655333339,0,0,4,1,2,4.787491742782046
1273,COK,2022-09-30,Inverter,5 Star,1.0,175.5,2022-09-01,9,39,3,273,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,119.0,3.0,20.0,21.0,140.0,99.16666666666667,87.9436372532596,63.75,70.65249464810034,49.875,52.55046276070031,0.47478991197655535,0.2535714267602041,3.9583331354166766,0,0,4,1,1,5.173320876373351
1274,COK,2022-09-30,Inverter,3 Star,2.0,68.0,2022-09-01,9,39,3,273,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,175.5,119.0,3.0,63.0,15.0,120.83333333333333,53.773444499426745,64.58333333333333,70.67136383760055,54.291666666666664,51.57098300283698,-0.6125356090453812,3.5333330977777937,39.277764685189545,0,0,2,1,4,4.23410650459726
