Location,QTY,temp_min,temp_max,temp_mean,dwpt_min,dwpt_max,dwpt_mean,rhum_min,rhum_max,rhum_mean,prcp_min,prcp_max,prcp_mean,wspd_min,wspd_max,wspd_mean,date
Vijaywada,1890.0,19.725,32.85,26.50229130052724,14.575,25.95,21.998952353056044,37.75,100.0,77.9489851835579,0.0,4.466666666666667,0.12671296296296294,0.0,63.525000000000006,7.6235693712165595,2022-12-01
Bangalore,6053.0,13.2,28.8,20.83178727114211,4.66,21.82,16.80064385353095,24.6,100.0,81.14321127579191,0.0,4.033333333333333,0.05631720430107523,0.72,38.5,10.452854219983369,2023-01-01
Chennai,23222.0,20.52,32.12,26.44370967741936,17.72,27.0,22.738306451612907,47.2,100.0,81.1258064516129,0.0,17.1,0.3387768817204301,0.0,41.1,8.56239247311828,2023-01-01
Cochin,6528.0,20.25,34.75,27.383131720430107,15.775,26.725,22.7213373655914,35.25,100.0,78.02788978494624,0.0,9.766666666666667,0.1383064516129032,0.925,20.0,6.005712365591397,2023-01-01
Secunderabad,13414.0,13.38,30.0,21.910521430948968,5.880000000000001,22.859999999999996,16.308986301546323,28.2,100.0,73.45575728342628,0.0,3.5333333333333337,0.02473118279569887,1.44,21.82,9.94611623448694,2023-01-01
Vijaywada,6495.0,16.674999999999997,31.8,24.84276499013261,11.225,24.275,19.701654689776646,34.5,100.0,75.09186240063445,0.0,5.433333333333334,0.09175627240143365,0.0,26.8,6.6090994969475645,2023-01-01
Bangalore,6442.0,12.8,30.2,21.293069191210844,-0.41999999999999993,21.02,14.514178354371202,16.2,100.0,70.95264142122487,0.0,1.7,0.017352916984461626,0.72,24.900000000000002,10.129830429961629,2023-02-01
Chennai,10806.0,20.36,31.96,26.278817204301077,15.960000000000003,26.18,21.870725806451613,42.2,98.8,77.95887096774193,0.0,3.1999999999999997,0.030443548387096703,0.0,26.26,7.680564516129033,2023-02-01
Cochin,3482.0,20.56,35.0,27.37657450076805,14.220000000000002,25.24,21.579399385560674,31.6,98.8,73.41586021505375,0.0,10.375,0.10842909245218116,0.6799999999999999,21.8,6.895295698924731,2023-02-01
Secunderabad,11313.0,12.9,31.8,22.5819677476984,7.5600000000000005,22.02,16.098205410501567,25.0,98.8,70.343686640381,0.0,1.55,0.009903848310825926,2.52,23.259999999999998,10.39984103952838,2023-02-01
Vijaywada,5843.0,16.9,31.75,24.452956989247312,11.25,23.549999999999997,19.661055107526877,32.75,100.0,76.78293010752688,0.0,3.25,0.0213475802753989,0.0,23.574999999999996,5.5285954301075275,2023-02-01
Bangalore,6393.0,13.2,31.4,22.609998781762766,-3.54,20.78,11.828715263257374,11.2,100.0,57.60861190358058,0.0,0.25,0.00390625,1.08,26.32,10.681599958949096,2023-03-01
Chennai,12905.0,20.72,34.04,26.87053776683087,14.26,25.46,21.19361761083744,35.0,97.6,72.71125821018063,0.0,0.3,0.00202175697865345,0.0,26.68,8.6911473727422,2023-03-01
Cochin,3602.0,20.2,36.62,28.18788118273854,10.16,25.639999999999997,21.5858595069757,23.4,98.8,70.63202531570802,0.0,1.4000000000000001,0.020507491789819324,1.1199999999999999,23.2,7.012686264781278,2023-03-01
Secunderabad,11641.0,14.4,33.6,24.342900685289067,2.66,22.04,13.829469506060345,15.8,98.8,56.947383479503024,0.0,0.07500000000000001,0.000221931444991775,2.16,22.9,10.775776354442513,2023-03-01
Vijaywada,7355.0,18.6,35.35,25.901554802955662,9.475,24.1,19.86404069170772,24.25,100.0,72.56654094827586,0.0,0.2,0.001413690476190425,0.0,24.025,5.51907327586207,2023-03-01
Bangalore,7713.0,15.0,34.4,25.490456989247313,-2.24,21.82,12.241344086021504,11.2,99.6,49.99516129032258,0.0,1.875,0.009845430107526875,1.08,34.48,10.858306451612904,2022-04-01
Chennai,21865.0,22.64,36.4,28.85567204301075,12.48,27.82,23.058655913978495,28.2,94.8,72.64462365591399,0.0,3.65,0.02775537634408595,0.0,25.880000000000003,9.400752688172044,2022-04-01
Cochin,7462.0,22.18,37.4,29.140807539941665,12.919999999999998,26.439999999999998,23.280703279218052,19.4,98.8,73.24869835880023,0.0,3.9250000000000003,0.08128360215053759,1.06,26.0,7.655884158286535,2022-04-01
Secunderabad,18766.0,18.2,38.0,27.69625788678574,4.640000000000001,23.5,15.317659290855772,15.6,96.4,51.662232293610586,0.0,2.325,0.018716397849462326,2.52,25.68,10.332960766017951,2022-04-01
Vijaywada,9967.0,19.733333333333334,39.6,28.435483870967744,4.7,26.400000000000002,21.21814516129032,14.666666666666666,100.0,69.0905017921147,0.0,7.8,0.06115591397849457,0.0,29.73333333333333,5.742159498207886,2022-04-01
Bangalore,5732.0,19.0,35.25,27.041070585731973,0.775,23.275,15.193029054472298,12.25,100.0,54.1936513463324,0.0,7.766666666666666,0.05611111111111109,0.0,36.625,10.347718875735065,2023-05-01
Chennai,25876.0,25.1,39.9,30.982534722222223,17.799999999999997,28.825,25.12371527777778,32.5,95.75,72.66006944444445,0.0,2.7,0.0195833333333333,0.0,36.575,11.148819444444444,2023-05-01
