Model_Type,Model_Name,MAE,RMSE,MAPE,R2,Training_Time,Location
Deep Learning,Transformer,6577.8668683966,7629.658905121277,99.94588660369571,-2.8738076098180962,10.335457,Cochin
Deep Learning,TCN,6571.551755150159,7622.730875682802,99.83935280581947,-2.8667756655118253,9.94255,Cochin
Time Series,ARIMA,3822.219038809919,5214.619641663057,,-0.8095603637915716,0.05187,Cochin
Time Series,SARIMA,2993.8387656768577,3880.944744630007,,-0.002311519353948688,0.385868,Cochin
Time Series,Prophet,3149.160691049574,3524.381190378317,51.59895253660245,0.17340351874858806,0.269925,Cochin
Time Series,ETS,2967.5004030879077,3654.737187086905,,0.11112619635521837,0.096566,Cochin
ML,Linear Regression,48773.994470855665,129418.70926734078,371.4571547041289,-196.7094419503442,0.002117,Secunderabad
ML,Ridge,6081.554663251137,9143.049664813216,41.6666309772539,0.013231131129857854,0.001525,Secunderabad
ML,Lasso,6085.014720221482,9586.487569201241,42.360476888157166,-0.08480657523662805,0.00401,Secunderabad
ML,ElasticNet,5866.435647293314,9024.979955249513,38.80378038697186,0.03855205842078324,0.003994,Secunderabad
ML,Decision Tree,6868.0,9379.35131019198,47.07389387902996,-0.03843397302500229,0.002514,Secunderabad
ML,Random Forest,5269.541666666667,7984.138516075691,35.26801572075405,0.2475296225074215,0.117461,Secunderabad
ML,Gradient Boosting,4672.800484745624,7899.091265565887,32.72639717991731,0.26347491090878783,0.053889,Secunderabad
ML,AdaBoost,5514.568150252525,8265.8357513904,36.85761111585628,0.19349544511388128,0.116141,Secunderabad
ML,Extra Trees,5336.775833333334,8121.802127372451,34.98259171926812,0.22135752471971903,0.08421,Secunderabad
ML,XGBoost,5456.7739664713545,8271.865433282232,42.15696844519668,0.19231837367156046,0.0567,Secunderabad
ML,LightGBM,6464.742857142856,10675.980956990023,42.202865347558074,-0.3453920679536413,0.006507,Secunderabad
ML,CatBoost,5356.616718194808,8254.890812788406,35.34793714209376,0.19562984483175072,0.681954,Secunderabad
ML,SVR,8055.890628907128,11880.795334580751,50.564947749643586,-0.6661891844205559,0.001521,Secunderabad
ML,KNN,5897.033333333333,9201.158303894861,37.243297129880624,0.0006484569318797595,0.003006,Secunderabad
Deep Learning,LSTM,12256.484034220377,12818.504873437776,99.89061550171589,-10.65757541233862,7.324338,Secunderabad
Deep Learning,GRU,12256.791859149933,12818.75023451126,99.89346684772836,-10.658021695679855,7.971655,Secunderabad
Deep Learning,Feed-Forward NN,14086.122946461042,16821.93915572263,99.91480022581047,-2.3402994158962387,9.90859,Secunderabad
Deep Learning,Transformer,14082.828991318742,16817.24385348919,99.90339754671234,-2.3384350022444256,10.021592,Secunderabad
Deep Learning,TCN,14079.520885298649,16813.971408299014,99.87629259768819,-2.3371358853694635,10.381146,Secunderabad
Time Series,ARIMA,6488.997351094105,10449.914680446105,,-0.2890173745111053,0.054116,Secunderabad
Time Series,SARIMA,4672.985812259735,7630.025612668936,,0.31279664106619076,0.310858,Secunderabad
Time Series,Prophet,5964.812617757901,8817.461198853576,37.66560100918135,0.08225844585280018,0.437774,Secunderabad
Time Series,ETS,5633.333850919287,8224.025101598168,,0.20163381060587793,0.085233,Secunderabad
ML,Linear Regression,6528.31059235319,8178.903174222163,125.17662155035636,-3.580860070027624,0.000999,Vijaywada
ML,Ridge,4395.579281330769,5154.273337211724,66.83825985020403,-0.8192474883785479,0.001505,Vijaywada
ML,Lasso,6629.432743225391,8598.777693773432,107.38953561097875,-4.063261227624992,0.004513,Vijaywada
ML,ElasticNet,4453.554645280657,5203.814954309866,68.63011922883983,-0.854387886623297,0.00301,Vijaywada
ML,Decision Tree,4355.0,5044.507954201282,54.25134445458595,-0.7425871789607013,0.002003,Vijaywada
ML,Random Forest,3651.376666666667,4396.985149449943,49.11567050352412,-0.32393568963952646,0.099855,Vijaywada
ML,Gradient Boosting,3810.3954403856533,4431.689033146042,49.88489954671676,-0.34491689627536704,0.045612,Vijaywada
ML,AdaBoost,3926.0801587301594,4622.798082088565,52.086025427063035,-0.4634124346116619,0.105781,Vijaywada
ML,Extra Trees,3841.7325000000005,4568.77755475594,49.55608293930641,-0.429410339588326,0.069261,Vijaywada
ML,XGBoost,3983.3281860351562,4637.490898774341,53.10263198286375,-0.47272965765105,0.042145,Vijaywada
ML,LightGBM,4000.6111111111113,5142.995079609633,49.582855427933865,-0.8112946723603136,0.008029,Vijaywada
ML,CatBoost,3873.1136310063594,4614.703052488644,49.43098421522527,-0.45829172865957557,0.800536,Vijaywada
ML,SVR,4517.416129656027,5691.068684710537,52.80236170462773,-1.2179132029392745,0.001,Vijaywada
ML,KNN,3531.8999999999996,4464.9035652146695,52.3955053015452,-0.3651521537082061,0.004029,Vijaywada
Deep Learning,LSTM,7160.676198178281,7761.01212701706,100.00288762866805,-5.724025043454033,3.450644,Vijaywada
Deep Learning,GRU,7159.614310195048,7760.012982125699,99.98459045407918,-5.722293866460721,5.151295,Vijaywada
Deep Learning,Feed-Forward NN,7541.094490041335,8452.976311310831,99.78768349002642,-3.8930110425507776,9.991585,Vijaywada
Deep Learning,Transformer,7536.336810598771,8448.177426209762,99.72328833856122,-3.887456943813355,9.867929,Vijaywada
Deep Learning,TCN,7542.387619994581,8453.579074334475,99.8251266477357,-3.8937088869968184,9.933004,Vijaywada
Time Series,ARIMA,4000.586644296965,5126.636987675979,,-0.799790790289798,0.059135,Vijaywada
Time Series,SARIMA,2788.552931183669,3535.5653001852484,,0.1439983185011786,0.352794,Vijaywada
Time Series,Prophet,4237.318972865008,5056.1124674166995,65.1138449396215,-0.7506137835721218,2.190508,Vijaywada
Time Series,ETS,3367.3751174348486,4082.644728693079,,-0.14140578847144725,0.012639,Vijaywada
Time Series,TimeGPT,3327.887666666666,4177.620577362242,46.84087557137339,-0.1951292603734225,1.849366,Vijaywada
