Model_Type,Model_Name,MAE,RMSE,MAPE,R2,Training_Time,Location
ML,XGBoost,3648.531679789225,4441.9827158067665,53.14618254910444,-0.31305080828504583,0.059928,Cochin
ML,LightGBM,3784.347619047619,5194.866522860826,48.99310833895124,-0.7958770032360123,0.013155,Cochin
ML,CatBoost,3546.671697129199,4440.968243161464,47.98515375748023,-0.3124511202164708,0.910119,Cochin
ML,SVR,4153.153656745727,5578.061800635645,52.12014465088863,-1.0705915908720738,0.001,Cochin
ML,KNN,3393.233333333332,4344.673253537025,45.923214824577016,-0.2561515640602905,0.003518,Cochin
Deep Learning,LSTM,6324.940879384677,7072.377409391149,99.76085980622115,-4.00633911179608,7.705524,Cochin
Deep Learning,GRU,6325.849967241287,7072.486575012868,99.7948507982998,-4.006493663598945,8.696623,Cochin
Deep Learning,Feed-Forward NN,6558.260381584366,7603.1542350110285,99.7097026388311,-2.846939920327692,10.256535,Cochin
Deep Learning,Transformer,6568.321698069572,7617.268812030252,99.82244089042027,-2.861236178891794,10.1111,Cochin
Deep Learning,TCN,6566.150058696668,7614.7063193721115,99.79257380822611,-2.858638732132494,10.677029,Cochin
Time Series,ARIMA,3822.219038809919,5214.619641663057,,-0.8095603637915716,0.053303,Cochin
Time Series,SARIMA,2993.8387656768577,3880.944744630007,,-0.002311519353948688,0.379832,Cochin
Time Series,Prophet,3149.160691049574,3524.381190378317,51.59895253660245,0.17340351874858806,0.298512,Cochin
Time Series,ETS,2967.5004030879077,3654.737187086905,,0.11112619635521837,0.105513,Cochin
ML,Linear Regression,48773.994470855665,129418.70926734078,371.4571547041289,-196.7094419503442,0.002453,Secunderabad
ML,Ridge,6081.554663251137,9143.049664813216,41.6666309772539,0.013231131129857854,0.001057,Secunderabad
ML,Lasso,6085.014720221482,9586.487569201241,42.360476888157166,-0.08480657523662805,0.006575,Secunderabad
ML,ElasticNet,5866.435647293314,9024.979955249513,38.80378038697186,0.03855205842078324,0.005199,Secunderabad
ML,Decision Tree,6868.0,9379.35131019198,47.07389387902996,-0.03843397302500229,0.001552,Secunderabad
ML,Random Forest,5269.541666666667,7984.138516075691,35.26801572075405,0.2475296225074215,0.124689,Secunderabad
